user_id,top_posts
U1,"['P78', 'P22', 'P100']"
U2,"['P42', 'P5', 'P69']"
U3,"['P42', 'P97', 'P39']"
U4,"['P53', 'P96', 'P37']"
U5,"['P74', 'P5', 'P35']"
U6,"['P74', 'P5', 'P35']"
U7,"['P70', 'P5', 'P69']"
U8,"['P82', 'P85', 'P46']"
U9,"['P78', 'P97', 'P34']"
U10,"['P96', 'P63', 'P54']"
U11,"['P49', 'P43', 'P91']"
U12,"['P81', 'P64', 'P33']"
U13,"['P70', 'P78', 'P22']"
U14,"['P64', 'P72', 'P34']"
U15,"['P81', 'P100', 'P10']"
U16,"['P82', 'P85', 'P80']"
U17,"['P99', 'P4', 'P2']"
U18,"['P41', 'P91', 'P51']"
U19,"['P93', 'P75', 'P25']"
U20,"['P2', 'P80', 'P44']"
U21,"['P49', 'P43', 'P91']"
U22,"['P42', 'P5', 'P69']"
U23,"['P48', 'P17', 'P58']"
U24,"['P70', 'P5', 'P69']"
U25,"['P41', 'P64', 'P91']"
U26,"['P5', 'P69', 'P58']"
U27,"['P100', 'P10', 'P33']"
U28,"['P42', 'P5', 'P69']"
U29,"['P81', 'P64', 'P33']"
U30,"['P49', 'P43', 'P91']"
U31,"['P2', 'P60', 'P52']"
U32,"['P82', 'P85', 'P23']"
U33,"['P37', 'P56', 'P60']"
U34,"['P93', 'P75', 'P25']"
U35,"['P37', 'P92', 'P51']"
U36,"['P64', 'P26', 'P35']"
U37,"['P74', 'P5', 'P35']"
U38,"['P100', 'P10', 'P93']"
U39,"['P21', 'P61', 'P36']"
U40,"['P5', 'P69', 'P58']"
U41,"['P48', 'P57', 'P93']"
U42,"['P21', 'P61', 'P66']"
U43,"['P41', 'P92', 'P35']"
U44,"['P76', 'P80', 'P71']"
U45,"['P26', 'P7', 'P35']"
U46,"['P63', 'P54', 'P14']"
U47,"['P52', 'P60', 'P72']"
U48,"['P76', 'P71', 'P75']"
U49,"['P96', 'P83', 'P100']"
U50,"['P2', 'P64', 'P89']"
